******************************************
Nodal r-coordinates
28 1
-1.000000000000000 
-0.830223896278567 
-0.468848793470714 
0.000000000000000 
0.468848793470714 
0.830223896278567 
1.000000000000000 
-1.000000000000000 
-0.769516496193442 
-0.364769256536689 
0.108864652571010 
0.539032992386883 
0.830223896278567 
-1.000000000000000 
-0.744095396034322 
-0.333333333333333 
0.108864652571010 
0.468848793470714 
-1.000000000000000 
-0.744095396034321 
-0.364769256536689 
0.000000000000000 
-1.000000000000000 
-0.769516496193441 
-0.468848793470714 
-1.000000000000000 
-0.830223896278567 
-1.000000000000000 
******************************************
Nodal s-coordinates
28 1
-1.000000000000000 
-1.000000000000000 
-1.000000000000000 
-1.000000000000000 
-1.000000000000000 
-1.000000000000000 
-1.000000000000000 
-0.830223896278567 
-0.769516496193442 
-0.744095396034321 
-0.744095396034321 
-0.769516496193441 
-0.830223896278567 
-0.468848793470714 
-0.364769256536689 
-0.333333333333333 
-0.364769256536689 
-0.468848793470714 
0.000000000000000 
0.108864652571010 
0.108864652571010 
0.000000000000000 
0.468848793470714 
0.539032992386883 
0.468848793470714 
0.830223896278567 
0.830223896278567 
1.000000000000000 
******************************************
Nodal Dr differentiation matrix
28 28
-0.354779664141683 0.800078707814439 -0.985063742748063 1.098244520847075 -1.176961681655653 0.920104053474741 -0.551700056226398 0.207482380848015 -0.695639408783120 1.432336019241393 -3.209748551194648 0.515149963726367 1.554401666328816 0.061781544814989 -0.099351953210429 0.120629762401214 0.192205061266649 0.369212842399972 -0.000913360226996 -0.000896512038103 -0.135242401607970 -0.189652765973481 -0.000439599881937 0.068565543896907 0.145634649909382 -0.023713272259427 -0.109411985011792 0.047688237989741 
0.843977350015449 -1.985656364247199 2.589139777647825 -3.117477922832161 3.690760330301429 -4.384712827957428 1.655262361973608 -0.344249715708741 1.167291801379797 -2.344788531765862 4.496281557246637 -10.336634829876029 7.125074416831668 -0.130765183851798 0.275599541876784 -0.495110484073919 0.945922428050161 0.826224058090417 -0.019429634205660 0.098694620714869 -0.268226406035687 -0.571901709528541 -0.028576131687597 0.100159061542285 0.401045374042678 -0.020410898945011 -0.275218418258497 0.107726379260522 
0.887930793133490 -1.027593665809473 -0.482833485180327 1.685936367970126 -2.452781655413910 2.610816436610340 -1.345023169351650 -2.239206757119446 6.769317312562300 -6.396936411823842 5.188391659139156 -3.456170951798924 1.242432810805074 -6.506027930532851 8.624435201174299 -3.257663464174974 1.143304170242401 -0.070772427204108 -0.602196415382217 -1.042191731137137 0.553756967240389 -0.251782811461866 0.481800595558684 0.241473389204380 -0.039223674449082 -0.323816642746052 -0.073254633906137 0.137880123851360 
-0.412664286788226 0.497711061594780 -0.179123379556238 -0.303859962628509 0.696732210760858 -0.886639888254702 0.503212608310751 0.831455490737984 -1.638012969082958 2.272433646674199 -2.076178220791593 1.520177827961114 -0.588720267393369 -1.249386781447323 -0.585691724001845 2.840099123499075 -0.973674098247190 0.150298875090106 -0.451547313554035 -0.086306230394306 -0.212158769456061 0.139124528570037 0.206798603799362 0.115675559890657 -0.015389383675720 -0.151757290692054 -0.022579391511335 0.059970420586541 
0.366413745923741 -0.566249526605154 0.338652665436648 0.000000000000001 -0.338652665436649 0.566249526605154 -0.366413745923741 -0.548774241350564 1.303114435099506 -1.645192518637621 1.645192518637620 -1.303114435099503 0.548774241350563 0.317089827077722 -1.835627635179341 0.000000000000004 1.835627635179337 -0.317089827077720 0.148938750207325 -0.190435116541720 0.190435116541719 -0.148938750207324 -0.021562838358927 0.000000000000000 0.021562838358928 0.017475285254590 -0.017475285254591 0.000000000000000 
-0.503212608310751 0.886639888254702 -0.696732210760857 0.303859962628507 0.179123379556240 -0.497711061594781 0.412664286788228 0.588720267393371 -1.520177827961117 2.076178220791595 -2.272433646674201 1.638012969082959 -0.831455490737984 -0.150298875090109 0.973674098247194 -2.840099123499079 0.585691724001849 1.249386781447319 -0.139124528570036 0.212158769456061 0.086306230394307 0.451547313554034 0.015389383675719 -0.115675559890657 -0.206798603799363 0.022579391511336 0.151757290692054 -0.059970420586541 
1.345023169351653 -2.610816436610341 2.452781655413905 -1.685936367970126 0.482833485180321 1.027593665809476 -0.887930793133493 -1.242432810805074 3.456170951798924 -5.188391659139161 6.396936411823848 -6.769317312562301 2.239206757119447 0.070772427204114 -1.143304170242400 3.257663464174977 -8.624435201174295 6.506027930532853 0.251782811461864 -0.553756967240388 1.042191731137135 0.602196415382212 0.039223674449083 -0.241473389204376 -0.481800595558683 0.073254633906135 0.323816642746049 -0.137880123851359 
-0.447901436063796 0.083025830135309 0.496532554954717 -0.014061933329215 -1.162890865095711 2.281949355188876 -1.571924772245807 1.303958192350690 -1.115917887192774 -2.036073753681066 4.398843139842456 -4.745245254807416 2.281949355188875 -2.375448407172258 7.645246843682703 -6.876792247865395 4.398843139842468 -1.162890865095705 -6.332485761641187 7.645246843682703 -2.036073753681072 -0.014061933329220 -0.368479166583502 -1.115917887192768 0.496532554954723 0.396413721081863 0.083025830135303 -0.135401436063795 
0.343968719853133 -0.257487965344747 -0.075117437403321 0.149359817890455 0.148884079868042 -0.603278630522324 0.514665281239643 -0.766246663028871 0.942817001801875 -0.139935536769958 -0.999975850821326 1.567423540096313 -0.906826388659142 0.930058100989911 -2.195302045856695 2.831266998972757 -2.141285195777808 0.706721574258421 -1.222646872949855 -0.485270516725836 2.428871847371668 -0.295795977353129 -0.530810332598382 0.162921272025854 -0.272812758691889 0.179681330940663 0.077858910215068 -0.091706303020521 
-0.514665281239645 0.603278630522327 -0.148884079868042 -0.149359817890456 0.075117437403322 0.257487965344745 -0.343968719853132 0.906826388659145 -1.567423540096318 0.999975850821332 0.139935536769953 -0.942817001801870 0.766246663028868 -0.706721574258424 2.141285195777810 -2.831266998972757 2.195302045856693 -0.930058100989910 0.295795977353129 -2.428871847371669 0.485270516725838 1.222646872949856 0.272812758691887 -0.162921272025855 0.530810332598383 -0.077858910215068 -0.179681330940662 0.091706303020522 
