******************************************
Nodal r-coordinates
21 1
-1.000000000000000 
-1.088340059885932 1.931026917067203 -1.507149908532961 0.591768104519418 0.650573632654651 -0.673349594577882 1.245175615748358 -3.339682287908304 4.754530498836682 -5.166138711677037 1.817593879075665 -0.248568340431796 1.937903901445486 -6.091458726585637 4.677483620008778 -0.308937003434533 0.728126915144635 0.360342927366620 -0.067913029399274 -0.321336256213618 0.118347906779477 
-0.388048517611515 0.067913029399274 0.308937003434535 0.248568340431798 -1.245175615748362 1.088340059885931 1.107692928436857 -0.728126915144631 -1.937903901445497 3.339682287908313 -1.931026917067203 -2.113304893734484 6.091458726585637 -4.754530498836686 1.507149908532962 -4.677483620008777 5.166138711677039 -0.591768104519414 -0.096336926245434 -0.650573632654653 0.188398546724314 
0.374045538343338 -0.276906442929295 -0.078134974770620 0.078134974770621 0.276906442929294 -0.374045538343338 -0.825842212503445 0.999164219362496 0.000000000000001 -0.999164219362498 0.825842212503447 0.999576277634677 -2.445562465170621 2.445562465170622 -0.999576277634677 -1.228022282572763 -0.000000000000003 1.228022282572764 -0.393487397896308 0.393487397896309 -0.000000000000000 
-1.088340059885930 1.245175615748362 -0.248568340431798 -0.308937003434533 -0.067913029399274 0.388048517611517 1.931026917067196 -3.339682287908301 1.937903901445487 0.728126915144637 -1.107692928436859 -1.507149908532957 4.754530498836675 -6.091458726585636 2.113304893734484 0.591768104519416 -5.166138711677036 4.677483620008781 0.650573632654651 0.096336926245433 -0.188398546724313 
0.340802726189259 -0.031134269144595 -0.035019664736753 -0.149647079900787 -0.387969240416751 0.768318988200816 -0.915087174189030 0.134707653788714 0.363890592503809 1.372747030268377 -1.784952642822900 1.561177124905820 -0.640823442423894 -3.046481579337686 2.316331054988153 -3.124870615446875 7.271485913914848 -2.819569052294501 -5.023579634285165 3.355243081235120 0.474430229004018 
-0.768318988200818 0.387969240416753 0.149647079900785 0.035019664736755 0.031134269144593 -0.340802726189262 1.784952642822898 -1.372747030268375 -0.363890592503808 -0.134707653788711 0.915087174189029 -2.316331054988152 3.046481579337688 0.640823442423890 -1.561177124905818 2.819569052294495 -7.271485913914850 3.124870615446878 -3.355243081235116 5.023579634285159 -0.474430229004014 
-0.499999999999998 0.000000000000002 -0.000000000000003 0.000000000000003 -0.000000000000002 0.500000000000002 1.349913314190480 0.000000000000002 0.000000000000005 0.000000000000005 -1.349913314190492 -2.244684648176155 -0.000000000000007 -0.000000000000008 2.244684648176170 4.036187270305328 0.000000000000021 -4.036187270305351 -10.141415936319667 10.141415936319660 0.000000000000007 
******************************************
Nodal Ds differentiation matrix
21 21
-7.500000000000003 0.000000000000008 -0.000000000000007 0.000000000000007 -0.000000000000003 0.000000000000003 10.141415936319655 0.000000000000013 -0.000000000000006 0.000000000000005 -0.000000000000006 -4.036187270305346 -0.000000000000002 -0.000000000000004 0.000000000000005 2.244684648176166 0.000000000000005 -0.000000000000004 -1.349913314190492 0.000000000000001 0.500000000000002 
-1.311934719335081 -5.023579634285154 -0.601443838017427 0.408348966369895 -0.261539666759232 0.103021548205033 3.355243081235116 7.271485913914852 -0.640823442423894 0.134707653788713 -0.031134269144597 -2.819569052294500 -3.046481579337685 0.363890592503807 -0.035019664736751 2.316331054988153 1.372747030268377 -0.149647079900790 -1.784952642822902 -0.387969240416749 0.768318988200816 
